ID Earthquake;Flag Tsunami;Year;Month;Day;Ms Magnitude;Ml Magnitude;Country;Location name;Earthquake : Deaths;Earthquake : Deaths Description;Earthquake : Damage (in M$);ICoordinates
9989;Yes;346;0.0;0.0;6.8;0.0;ALBANIA;ALBANIA:  DURRES (DYRRACHIUM);0.0;No deaths reported;0.0;41.4, 19.4
9971;Yes;557;0.0;0.0;7.0;0.0;TURKEY;TURKEY:  ISTANBUL (CONSTANTINOPLE);0.0;No deaths reported;0.0;40.9, 27.6
5945;Yes;1408;1.0;21.0;7.0;0.0;JAPAN;JAPAN:  KUMANONADA;0.0;No deaths reported;0.0;33.8, 136.9
782;Yes;1584;3.0;17.0;8.4;0.0;PERU;PERU;0.0;No deaths reported;0.0;-11.8, -77.8
835;No;1605;7.0;13.0;7.5;0.0;CHINA;CHINA:  GUANGDONG PROVINCE;2000.0;Very Many (~1001 or more deaths);0.0;19.9, 110.5
1081;Yes;1678;6.0;18.0;8.4;0.0;PERU;PERU:  LIMA,SALINAS-HUAURA,LIMA,CALLAO,CHANCAY;0.0;Many (~101 to 1000 deaths);0.0;-9.0, -79.0
7961;No;1679;12.0;16.0;5.0;0.0;CHINA;CHINA:  JIANGSU PROVINCE;0.0;Few (~1 to 50 deaths);0.0;31.4, 119.5
10180;Yes;1694;4.0;0.0;5.5;0.0;TAIWAN;TAIWAN:  TAIBEI (TAIPEI);0.0;No deaths reported;0.0;25.0, 121.5
7922;No;1725;8.0;2.0;5.5;0.0;CHINA;CHINA:  SICHUAN PROVINCE:  KANGDING;0.0;Very Many (~1001 or more deaths);0.0;30.1, 101.9
5997;Yes;1726;4.0;1.0;6.6;0.0;JAPAN;JAPAN:  KATSUYAMA;0.0;No deaths reported;0.0;36.3, 136.0
1731;No;1829;11.0;19.0;6.0;0.0;CHINA;CHINA:  SHANDONG PROVINCE;200.0;Many (~101 to 1000 deaths);0.0;36.6, 118.5
1760;Yes;1833;9.0;18.0;7.7;0.0;PERU;"PERU-CHILE:  PERU:  TACNA; CHILE:  ARICA";700.0;Many (~101 to 1000 deaths);0.0;-18.251, -71.01
6132;Yes;1859;6.0;28.0;7.0;0.0;INDONESIA;INDONESIA:  N. MOLUCCAS ISLANDS;0.0;No deaths reported;0.0;1.0, 126.5
6144;Yes;1861;6.0;17.0;6.8;0.0;INDONESIA;INDONESIA:  SW. SUMATRA;0.0;No deaths reported;0.0;1.0, 97.5
2258;Yes;1878;4.0;19.0;6.7;0.0;TURKEY;TURKEY:  IZMIT, ESME, LABINIA;40.0;Few (~1 to 50 deaths);0.0;40.8, 29.0
8201;No;1884;7.0;20.0;6.2;0.0;ERITREA;ERITREA:  MASSAWA, MUNCULLO;0.0;No deaths reported;0.0;15.7, 39.6
2525;Yes;1897;10.0;18.0;8.1;0.0;PHILIPPINES;PHILIPPINES:  NORTHERN SAMAR;0.0;No deaths reported;0.0;12.0, 126.0
2532;Yes;1898;3.0;31.0;6.5;6.2;USA;CALIFORNIA:  SONOMA COUNTY;0.0;No deaths reported;0.0;38.2, -122.4
2642;No;1903;1.0;14.0;7.7;0.0;MEXICO;MEXICO:  OFF COAST OF GUERRERO;0.0;No deaths reported;0.0;15.0, -98.0
2665;No;1903;12.0;28.0;7.8;0.0;PHILIPPINES;PHILIPPINES:  DAVAO GULF;0.0;No deaths reported;0.0;7.0, 126.0
7991;No;1904;4.0;24.0;6.0;0.0;TAIWAN;TAIWAN:  JIAYI;3.0;Few (~1 to 50 deaths);0.0;23.5, 120.5
2771;No;1906;5.0;0.0;5.3;0.0;CHINA;CHINA:  YUNNAN PROVINCE;1.0;Few (~1 to 50 deaths);0.0;24.6, 98.6
2782;Yes;1906;9.0;14.0;7.5;0.0;PAPUA NEW GUINEA;PAPUA NEW GUINEA:  NEW BRITAIN;0.0;Some (~51 to 100 deaths);0.0;-7.0, 149.0
2835;No;1908;3.0;27.0;7.5;0.0;MEXICO;MEXICO:  GUERRERO;0.0;No deaths reported;0.0;17.0, -101.0
2928;No;1911;5.0;4.0;7.6;0.0;RUSSIA;RUSSIA:  NEAR KAMCHATKA;0.0;No deaths reported;0.0;51.8, 156.0
2953;No;1912;5.0;23.0;8.0;0.0;MYANMAR (BURMA);MYANMAR (BURMA):  MANDALAY, MOGOK, MAYMYO;0.0;Few (~1 to 50 deaths);0.0;21.0, 97.0
2963;No;1912;9.0;29.0;7.5;0.0;MICRONESIA, FED. STATES OF;MICRONESIA, FED. STATES OF:  CAROLINE ISLANDS;0.0;No deaths reported;0.0;7.0, 138.0
6260;Yes;1913;7.0;28.0;7.0;0.0;PERU;PERU:  AREQUIPA;0.0;No deaths reported;0.0;-16.6, -73.3
3010;Yes;1914;6.0;25.0;7.6;0.0;INDONESIA;INDONESIA:  SUMATERA;20.0;Few (~1 to 50 deaths);0.0;-3.924, 101.82
6314;Yes;1915;11.0;18.0;6.4;0.0;PHILIPPINES;PHILIPPINES:  W. LUZON ISLAND;0.0;No deaths reported;0.0;18.0, 119.5
3056;Yes;1916;4.0;26.0;7.0;0.0;PANAMA;PANAMA:  ALMIRANTE, BOCAS DEL TORO;0.0;No deaths reported;0.025;9.6, -82.0
3088;No;1917;7.0;4.0;7.7;0.0;TAIWAN;TAIWAN:  NE OF TAIWAN;0.0;No deaths reported;0.0;25.0, 123.0
6884;No;1919;4.0;28.0;5.9;0.0;EL SALVADOR;EL SALVADOR:  SAN SALVADOR;0.0;Some (~51 to 100 deaths);0.0;13.69, -89.19
3151;No;1920;2.0;20.0;6.2;0.0;GEORGIA;GEORGIA:  CAUCASUS:  GORI, TIFLIS;0.0;Many (~101 to 1000 deaths);0.0;42.0, 44.1
3235;No;1923;10.0;7.0;7.5;0.0;INDONESIA;INDONESIA:  DJAILOLO GILOLO;0.0;No deaths reported;0.0;-1.75, 128.75
6287;Yes;1923;11.0;4.0;7.1;0.0;PAPUA NEW GUINEA;PAPUA NEW GUINEA:   BISMARCK ARCHIPELAGO;0.0;No deaths reported;0.0;-4.539, 153.107
6290;Yes;1924;4.0;14.0;8.3;0.0;PHILIPPINES;PHILIPPINES: E MINDANAO: MATI,SURIGA;0.0;No deaths reported;0.0;6.5, 126.5
7997;No;1924;7.0;3.0;7.3;0.0;CHINA;CHINA: XINJIANG;100.0;Some (~51 to 100 deaths);0.0;36.8, 83.8
6543;Yes;1925;5.0;15.0;7.1;0.0;CHILE;CHILE:  NORTHERN;0.0;No deaths reported;0.0;-26.0, -71.5
3297;No;1926;10.0;26.0;7.9;0.0;INDONESIA;INDONESIA:  NEW GUINEA:  IRIAN JAYA;0.0;No deaths reported;0.0;-3.5, 138.5
8002;No;1930;9.0;21.0;6.5;0.0;CHINA;CHINA:  YUNNAN PROVINCE:;0.0;No deaths reported;0.0;25.8, 98.4
6088;Yes;1930;9.0;30.0;6.8;0.0;PAPUA NEW GUINEA;PAPUA NEW GUINEA:  BISMARCK SEA;0.0;No deaths reported;0.0;-4.423, 145.46
8008;No;1935;6.0;7.0;5.8;0.0;TAIWAN;TAIWAN:  TAIZHONG;0.0;No deaths reported;0.0;24.2, 120.5
3555;No;1935;7.0;16.0;6.5;0.0;TAIWAN;TAIWAN:  XIINZHU;2746.0;Very Many (~1001 or more deaths);0.0;24.6, 120.8
3621;Yes;1938;6.0;10.0;7.7;0.0;JAPAN;JAPAN:  SW RYUKYU ISLANDS;0.0;No deaths reported;0.0;25.208, 125.115
3784;No;1944;9.0;5.0;5.6;0.0;USA;NEW YORK:  MASSENA;0.0;No deaths reported;2.0;44.957, -74.723
3822;Yes;1946;4.0;1.0;7.3;0.0;USA;ALASKA:  UNIMAK ISLAND;0.0;No deaths reported;0.0;53.492, -162.832
8023;No;1949;2.0;23.0;7.3;0.0;CHINA;CHINA:  XINJIANG PROVINCE;21.0;Few (~1 to 50 deaths);0.0;42.0, 84.0
6368;Yes;1954;11.0;18.0;6.5;0.0;JAPAN;JAPAN:  HONSHU:  MIYAGI PREFECTURE;0.0;No deaths reported;0.0;38.9, 142.2
4167;Yes;1958;7.0;10.0;7.9;0.0;USA;ALASKA:  LITUYA BAY;0.0;No deaths reported;0.0;58.37, -136.665
4201;No;1959;8.0;26.0;6.9;0.0;MEXICO;MEXICO:  GULF OF CAMPECHE;25.0;Few (~1 to 50 deaths);0.0;18.3, -94.4
4216;Yes;1960;2.0;29.0;5.9;0.0;MOROCCO;MOROCCO:  AGADIR;13100.0;Very Many (~1001 or more deaths);120.0;30.45, -9.62
4313;Yes;1964;4.0;2.0;7.0;0.0;INDONESIA;INDONESIA:  BANDA ACEH;0.0;No deaths reported;0.0;5.9, 95.7
9812;No;1965;4.0;19.0;6.0;0.0;JAPAN;JAPAN:  AICHI, SHIZOUKA PREFECTURES;1.0;Few (~1 to 50 deaths);0.0;34.9, 138.0
8084;No;1966;4.0;20.0;5.3;0.0;CHINA;CHINA:  HEBEI PROVINCE;0.0;No deaths reported;0.0;37.25, 114.78
4399;No;1967;7.0;13.0;5.0;0.0;ALGERIA;ALGERIA:  NEAR SIG;10.0;Few (~1 to 50 deaths);0.0;35.5, -0.1
4407;No;1967;7.0;29.0;6.8;0.0;COLOMBIA;COLOMBIA;20.0;Few (~1 to 50 deaths);0.0;6.8, -73.0
6630;Yes;1967;12.0;21.0;7.5;0.0;CHILE;CHILE:  NORTHERN;1.0;Few (~1 to 50 deaths);0.0;-21.7, -69.5
4434;No;1968;4.0;29.0;5.3;0.0;IRAN;IRAN:  MAKU,SHAH BANDALU,QURTA BOLAGH,QONDEQLI;38.0;Few (~1 to 50 deaths);1.0;39.2, 44.3
6430;Yes;1970;7.0;25.0;7.0;0.0;JAPAN;SEIKAIDO, JAPAN;0.0;No deaths reported;0.0;32.2, 131.7
6548;Yes;1971;9.0;8.0;6.2;0.0;RUSSIA;RUSSIA:  TATAR STRAIT;0.0;No deaths reported;0.0;46.3, 140.9
4590;Yes;1972;1.0;25.0;7.5;0.0;TAIWAN;TAIWAN;1.0;Few (~1 to 50 deaths);0.0;22.5, 122.3
4608;No;1972;7.0;2.0;5.3;0.0;IRAN;IRAN:  MISHAN-E-MARKAZI,TALKHAB,MISHAN SOFLA;0.0;No deaths reported;0.0;30.1, 50.8
